2025-04-11 18:38:50,368 [INFO] Loading data...
2025-04-11 18:38:50,498 [INFO] Loaded 3274 training sequences and 834 test sequences
2025-04-11 18:38:50,498 [INFO] Created DataLoader with batch size 32
2025-04-11 18:38:50,499 [INFO] Creating model with 124 questions and 200 hidden units
2025-04-11 18:38:50,500 [INFO] Using device: cpu
2025-04-11 18:38:51,327 [INFO] Epoch 1, Batch 1: Loss = 0.6905
2025-04-11 18:38:51,798 [INFO] Epoch 1, Batch 2: Loss = 0.7799
2025-04-11 18:38:51,859 [INFO] Epoch 1, Batch 3: Loss = 0.7655
2025-04-11 18:38:52,086 [INFO] Epoch 1, Batch 4: Loss = 0.6823
2025-04-11 18:38:52,474 [INFO] Epoch 1, Batch 5: Loss = 0.6524
2025-04-11 18:38:52,854 [INFO] Epoch 1, Batch 6: Loss = 0.6485
2025-04-11 18:38:52,983 [INFO] Epoch 1, Batch 7: Loss = 0.7004
2025-04-11 18:38:53,326 [INFO] Epoch 1, Batch 8: Loss = 0.6521
2025-04-11 18:38:53,737 [INFO] Epoch 1, Batch 9: Loss = 0.4774
2025-04-11 18:38:53,852 [INFO] Epoch 1, Batch 10: Loss = 0.5912
2025-04-11 18:38:54,390 [INFO] Epoch 1, Batch 11: Loss = 0.5466
2025-04-11 18:38:55,288 [INFO] Epoch 1, Batch 12: Loss = 0.3397
2025-04-11 18:38:55,664 [INFO] Epoch 1, Batch 13: Loss = 0.5701
2025-04-11 18:38:55,964 [INFO] Epoch 1, Batch 14: Loss = 0.7127
2025-04-11 18:38:56,390 [INFO] Epoch 1, Batch 15: Loss = 0.4301
2025-04-11 18:38:56,807 [INFO] Epoch 1, Batch 16: Loss = 0.6783
2025-04-11 18:38:57,294 [INFO] Epoch 1, Batch 17: Loss = 0.3967
2025-04-11 18:38:57,783 [INFO] Epoch 1, Batch 18: Loss = 0.3417
2025-04-11 18:38:57,880 [INFO] Epoch 1, Batch 19: Loss = 0.6628
2025-04-11 18:38:58,422 [INFO] Epoch 1, Batch 20: Loss = 0.4909
2025-04-11 18:38:58,885 [INFO] Epoch 1, Batch 21: Loss = 0.5303
2025-04-11 18:38:59,355 [INFO] Epoch 1, Batch 22: Loss = 0.2685
2025-04-11 18:38:59,732 [INFO] Epoch 1, Batch 23: Loss = 0.5280
2025-04-11 18:38:59,943 [INFO] Epoch 1, Batch 24: Loss = 0.6370
2025-04-11 18:39:00,414 [INFO] Epoch 1, Batch 25: Loss = 0.6628
2025-04-11 18:39:00,845 [INFO] Epoch 1, Batch 26: Loss = 0.4526
2025-04-11 18:39:01,114 [INFO] Epoch 1, Batch 27: Loss = 0.3585
2025-04-11 18:39:01,819 [INFO] Epoch 1, Batch 28: Loss = 0.3330
2025-04-11 18:39:02,509 [INFO] Epoch 1, Batch 29: Loss = 0.4953
2025-04-11 18:39:02,769 [INFO] Epoch 1, Batch 30: Loss = 0.6254
2025-04-11 18:39:03,333 [INFO] Epoch 1, Batch 31: Loss = 0.4057
2025-04-11 18:39:03,729 [INFO] Epoch 1, Batch 32: Loss = 0.4667
2025-04-11 18:39:04,602 [INFO] Epoch 1, Batch 33: Loss = 0.4454
2025-04-11 18:39:04,790 [INFO] Epoch 1, Batch 34: Loss = 0.5852
2025-04-11 18:39:05,177 [INFO] Epoch 1, Batch 35: Loss = 0.6295
2025-04-11 18:39:05,651 [INFO] Epoch 1, Batch 36: Loss = 0.6729
2025-04-11 18:39:06,138 [INFO] Epoch 1, Batch 37: Loss = 0.6468
2025-04-11 18:39:06,371 [INFO] Epoch 1, Batch 38: Loss = 0.6840
2025-04-11 18:39:06,830 [INFO] Epoch 1, Batch 39: Loss = 0.4637
2025-04-11 18:39:07,255 [INFO] Epoch 1, Batch 40: Loss = 0.6741
2025-04-11 18:39:08,501 [INFO] Epoch 1, Batch 41: Loss = 0.6045
2025-04-11 18:39:09,592 [INFO] Epoch 1, Batch 42: Loss = 0.5063
2025-04-11 18:39:09,970 [INFO] Epoch 1, Batch 43: Loss = 0.6599
2025-04-11 18:39:10,323 [INFO] Epoch 1, Batch 44: Loss = 0.4598
2025-04-11 18:39:11,966 [INFO] Epoch 1, Batch 45: Loss = 0.3743
2025-04-11 18:39:12,542 [INFO] Epoch 1, Batch 46: Loss = 0.4027
2025-04-11 18:39:12,827 [INFO] Epoch 1, Batch 47: Loss = 0.6422
2025-04-11 18:39:13,296 [INFO] Epoch 1, Batch 48: Loss = 0.6557
2025-04-11 18:39:13,675 [INFO] Epoch 1, Batch 49: Loss = 0.6079
2025-04-11 18:39:14,042 [INFO] Epoch 1, Batch 50: Loss = 0.5147
2025-04-11 18:39:14,492 [INFO] Epoch 1, Batch 51: Loss = 0.4308
2025-04-11 18:39:14,902 [INFO] Epoch 1, Batch 52: Loss = 0.5233
2025-04-11 18:39:15,227 [INFO] Epoch 1, Batch 53: Loss = 0.4184
2025-04-11 18:39:15,878 [INFO] Epoch 1, Batch 54: Loss = 0.4794
